condition,num_images,class_id,class_name,class_group,iou_base,iou_adapt,delta_abs,gt_pixels,pred_pixels_base,pred_pixels_adapt
fog,100,0,road,large_structure,95.39254760742188,95.43346405029297,0.04091644287109375,30621120,31546196,31516996
fog,100,1,sidewalk,large_structure,80.1796646118164,80.20108032226562,0.02141571044921875,9186728,8990163,9038205
fog,100,2,building,large_structure,83.70234680175781,83.70436096191406,0.00201416015625,28850852,33241496,33251044
fog,100,3,wall,large_structure,51.049530029296875,51.143741607666016,0.09421157836914062,2616259,2078960,2098333
fog,100,4,fence,large_structure,41.645267486572266,41.55416488647461,-0.09110260009765625,2311797,1107126,1108514
fog,100,5,pole,small_object,48.5318717956543,49.054100036621094,0.5222282409667969,2175076,1326753,1346415
fog,100,6,traffic light,small_object,75.97531127929688,75.9461898803711,-0.02912139892578125,378656,331744,331915
fog,100,7,traffic sign,small_object,67.74459075927734,67.65119171142578,-0.0933990478515625,393776,436657,438473
fog,100,8,vegetation,large_structure,87.33914184570312,87.28585052490234,-0.05329132080078125,45908520,42865648,42802140
fog,100,9,terrain,large_structure,53.30352020263672,53.19502258300781,-0.10849761962890625,2464737,3062974,3064168
fog,100,10,sky,large_structure,97.17023468017578,97.18315887451172,0.0129241943359375,64689496,64687604,64662204
fog,100,11,person,small_object,53.7335090637207,53.90095520019531,0.16744613647460938,108986,133833,133388
fog,100,12,rider,small_object,61.0743408203125,61.46841049194336,0.3940696716308594,20814,27613,27415
fog,100,13,car,small_object,87.98680877685547,88.00625610351562,0.01944732666015625,3924090,4036625,4038492
fog,100,14,truck,small_object,75.39051818847656,76.04849243164062,0.6579742431640625,1458157,1239293,1252944
fog,100,15,bus,small_object,94.90033721923828,94.75387573242188,-0.14646148681640625,577827,588901,590558
fog,100,16,train,small_object,93.12864685058594,93.08584594726562,-0.0428009033203125,388178,389103,389510
fog,100,17,motorcycle,small_object,34.48710632324219,34.351287841796875,-0.1358184814453125,45881,20249,20154
fog,100,18,bicycle,small_object,58.561336517333984,58.50196075439453,-0.059375762939453125,33036,43056,43102
night,106,0,road,large_structure,76.51354217529297,76.49093627929688,-0.02260589599609375,53593800,67794648,67787064
night,106,1,sidewalk,large_structure,21.976369857788086,22.33115005493164,0.3547801971435547,17431928,5545560,5680517
night,106,2,building,large_structure,46.30921936035156,46.625755310058594,0.31653594970703125,38090120,64796664,64221880
night,106,3,wall,large_structure,20.259410858154297,20.173988342285156,-0.08542251586914062,4022306,3808590,3901027
night,106,4,fence,large_structure,24.553495407104492,24.51310920715332,-0.040386199951171875,5122854,1763512,1770493
night,106,5,pole,small_object,41.692108154296875,41.80656814575195,0.11445999145507812,1600887,1319342,1338308
night,106,6,traffic light,small_object,48.519874572753906,48.454280853271484,-0.06559371948242188,172791,175047,174978
night,106,7,traffic sign,small_object,27.330251693725586,27.371116638183594,0.04086494445800781,774115,323976,325085
night,106,8,vegetation,large_structure,52.93736267089844,52.799617767333984,-0.13774490356445312,38089320,51494928,51767240
night,106,9,terrain,large_structure,16.60215950012207,16.557392120361328,-0.04476737976074219,2197247,2152466,2186339
night,106,10,sky,large_structure,1.1936671733856201,1.2133774757385254,0.019710302352905273,36795620,615190,621902
night,106,11,person,small_object,32.63788604736328,32.76254653930664,0.12466049194335938,350880,346912,345591
night,106,12,rider,small_object,9.602919578552246,9.704476356506348,0.10155677795410156,21587,24067,23405
night,106,13,car,small_object,57.01338577270508,57.01220703125,-0.001178741455078125,1141109,1080431,1090281
night,106,14,truck,small_object,5.056696891784668,5.0278472900390625,-0.02884960174560547,31471,210525,215001
night,106,15,bus,small_object,0.0,0.0,0.0,0,17604,18656
night,106,16,train,small_object,25.37019920349121,25.402978897094727,0.032779693603515625,2457411,723335,724366
night,106,17,motorcycle,small_object,11.86635684967041,12.03408432006836,0.16772747039794922,82299,23672,23804
night,106,18,bicycle,small_object,30.687118530273438,30.61385154724121,-0.07326698303222656,459474,218766,219287
rain,100,0,road,large_structure,82.35831451416016,82.41153717041016,0.05322265625,28160618,31830928,31762744
rain,100,1,sidewalk,large_structure,43.605865478515625,44.05027389526367,0.4444084167480469,9947977,6262984,6394489
rain,100,2,building,large_structure,83.9585952758789,83.95121765136719,-0.00737762451171875,26733820,29557364,29562138
rain,100,3,wall,large_structure,29.190969467163086,29.146358489990234,-0.04461097717285156,1296822,1238295,1253426
rain,100,4,fence,large_structure,30.385150909423828,30.433761596679688,0.048610687255859375,2852865,1099783,1101168
rain,100,5,pole,small_object,47.190738677978516,47.546974182128906,0.3562355041503906,2103667,1481842,1502505
rain,100,6,traffic light,small_object,67.1181640625,67.09391021728516,-0.02425384521484375,518197,409862,410008
rain,100,7,traffic sign,small_object,68.62281799316406,68.36780548095703,-0.25501251220703125,513899,586864,591471
rain,100,8,vegetation,large_structure,90.46287536621094,90.47596740722656,0.013092041015625,46868828,46134288,46047316
rain,100,9,terrain,large_structure,52.497337341308594,52.492435455322266,-0.004901885986328125,2793900,3497274,3501314
rain,100,10,sky,large_structure,97.48278045654297,97.48011016845703,-0.0026702880859375,66870272,66594688,66554504
rain,100,11,person,small_object,70.97643280029297,71.16959381103516,0.1931610107421875,372839,388873,386673
rain,100,12,rider,small_object,20.10869598388672,20.068286895751953,-0.040409088134765625,23556,35893,35873
rain,100,13,car,small_object,87.13399505615234,87.18113708496094,0.04714202880859375,4646740,4769560,4772887
rain,100,14,truck,small_object,59.16737365722656,58.8895149230957,-0.2778587341308594,271393,239087,241639
rain,100,15,bus,small_object,86.22515106201172,86.54816436767578,0.3230133056640625,2012335,1844738,1854939
rain,100,16,train,small_object,58.73126220703125,59.795265197753906,1.0640029907226562,402154,414512,413930
rain,100,17,motorcycle,small_object,40.80032730102539,40.93345260620117,0.13312530517578125,35386,23339,23255
rain,100,18,bicycle,small_object,30.809757232666016,30.93622398376465,0.1264667510986328,54158,69244,69125
snow,100,0,road,large_structure,74.3998031616211,74.42271423339844,0.02291107177734375,28612328,36415032,36345612
snow,100,1,sidewalk,large_structure,22.29595947265625,22.522878646850586,0.22691917419433594,10513543,4917782,5029718
snow,100,2,building,large_structure,79.87332916259766,79.89966583251953,0.026336669921875,31229716,36271572,36283992
snow,100,3,wall,large_structure,31.062963485717773,31.23333168029785,0.17036819458007812,3083885,1339701,1366690
snow,100,4,fence,large_structure,37.3797492980957,37.406803131103516,0.0270538330078125,2712681,1496298,1496393
snow,100,5,pole,small_object,52.7636604309082,52.997154235839844,0.23349380493164062,1816825,1448903,1466858
snow,100,6,traffic light,small_object,73.44633483886719,73.3734130859375,-0.0729217529296875,343387,302319,302051
snow,100,7,traffic sign,small_object,68.49788665771484,68.51526641845703,0.0173797607421875,582757,591557,593702
snow,100,8,vegetation,large_structure,85.38319396972656,85.37495422363281,-0.00823974609375,47303304,45982120,45862008
snow,100,9,terrain,large_structure,16.014339447021484,15.917854309082031,-0.09648513793945312,2147831,603043,606361
snow,100,10,sky,large_structure,96.70244598388672,96.71741485595703,0.0149688720703125,58504924,58139108,58129224
snow,100,11,person,small_object,65.44059753417969,65.6056137084961,0.16501617431640625,425445,358803,358426
snow,100,12,rider,small_object,1.590688705444336,1.6043827533721924,0.013694047927856445,1867,19081,18905
snow,100,13,car,small_object,81.2490005493164,81.31765747070312,0.06865692138671875,4192632,4358094,4361110
snow,100,14,truck,small_object,61.59882354736328,62.8858757019043,1.2870521545410156,1067860,721220,738186
snow,100,15,bus,small_object,5.85516881942749,6.175893306732178,0.3207244873046875,1101949,77014,81582
snow,100,16,train,small_object,68.64279174804688,68.68643951416016,0.04364776611328125,1831738,2415944,2416414
snow,100,17,motorcycle,small_object,59.59188461303711,59.88718795776367,0.2953033447265625,93634,65444,65951
snow,100,18,bicycle,small_object,46.3592414855957,46.21315002441406,-0.14609146118164062,77059,120324,120184
