group_type,group_name,num_images,dino_layer,segformer_stage,cka_mean,ssm_mean
condition,night,1006,24,stage1,0.46237529295813257,0.4270041624961743
condition,night,1006,24,stage2,0.4386094378429663,0.4323211467526779
condition,night,1006,24,stage3,0.6514923045222849,0.6128611768157061
condition,night,1006,24,stage4,0.6911057368898487,0.6519201014553814
condition,rain,1000,1,stage1,0.6636102154552936,0.6373917456269265
condition,rain,1000,1,stage2,0.5346024214923382,0.5182126000821591
condition,rain,1000,1,stage3,0.3788160159662366,0.34353781598899513
condition,rain,1000,1,stage4,0.5211741052791476,0.40128023468353785
condition,rain,1000,2,stage1,0.6939197049438953,0.6283873395323754
condition,rain,1000,2,stage2,0.5657525898814202,0.5101421663612127
condition,rain,1000,2,stage3,0.3843565589115024,0.33921031549945474
condition,rain,1000,2,stage4,0.5174980414137245,0.4041557751726359
condition,rain,1000,3,stage1,0.7013517935872078,0.6651189557611942
condition,rain,1000,3,stage2,0.5784476370513439,0.55225387814641
condition,rain,1000,3,stage3,0.39177801559865477,0.37475807283073664
condition,rain,1000,3,stage4,0.5242603683620691,0.4334276801459491
condition,rain,1000,4,stage1,0.7114669851958751,0.7074824291169644
condition,rain,1000,4,stage2,0.588199374049902,0.6010830439627171
condition,rain,1000,4,stage3,0.39672817255556586,0.4073748067840934
condition,rain,1000,4,stage4,0.5289016695916653,0.453551968944259
condition,rain,1000,5,stage1,0.7532052358984948,0.7530709074735642
condition,rain,1000,5,stage2,0.6285222968757153,0.6541683451533318
condition,rain,1000,5,stage3,0.4143434669226408,0.4509938736855984
condition,rain,1000,5,stage4,0.5394529612511396,0.4872210102789104
condition,rain,1000,6,stage1,0.7732922886013984,0.7788818964362144
condition,rain,1000,6,stage2,0.6444757051765919,0.6795846463143825
condition,rain,1000,6,stage3,0.4184460924416781,0.4473004579991102
condition,rain,1000,6,stage4,0.5405580929666758,0.47081247916445135
condition,rain,1000,7,stage1,0.7785840054154396,0.7803761121630669
condition,rain,1000,7,stage2,0.6659223008751869,0.7025884202122689
condition,rain,1000,7,stage3,0.4313388845473528,0.47751111643016336
condition,rain,1000,7,stage4,0.5402838760763407,0.48958163906633856
condition,rain,1000,8,stage1,0.7520258107185364,0.7607477859854698
condition,rain,1000,8,stage2,0.6658245659768581,0.7103182462453842
condition,rain,1000,8,stage3,0.4778443873524666,0.5347492875158787
condition,rain,1000,8,stage4,0.6243331964015961,0.5917918408215046
condition,rain,1000,9,stage1,0.7187464089393616,0.7170344497263431
condition,rain,1000,9,stage2,0.6575175958573818,0.6813998710513115
condition,rain,1000,9,stage3,0.5055296794772148,0.560760189473629
condition,rain,1000,9,stage4,0.6547308051288128,0.6273527193367481
condition,rain,1000,10,stage1,0.740807519376278,0.7502689190506935
condition,rain,1000,10,stage2,0.6830061365365983,0.7348727307915688
condition,rain,1000,10,stage3,0.5226569980680943,0.6146287395060063
condition,rain,1000,10,stage4,0.6576959719657898,0.6527256553173065
condition,rain,1000,11,stage1,0.7256843922138214,0.7325908518731594
condition,rain,1000,11,stage2,0.6798864912390709,0.7338084918260575
condition,rain,1000,11,stage3,0.535203656733036,0.6438324500322342
condition,rain,1000,11,stage4,0.6502672930657863,0.65742310115695
condition,rain,1000,12,stage1,0.7270498887598514,0.740487411826849
condition,rain,1000,12,stage2,0.6902284859418869,0.7762458738684654
condition,rain,1000,12,stage3,0.5511004039645195,0.7020194427967071
condition,rain,1000,12,stage4,0.654028221487999,0.6788558560609818
condition,rain,1000,13,stage1,0.6961975466310978,0.7176879342496395
condition,rain,1000,13,stage2,0.6661873062252999,0.7600347611308098
condition,rain,1000,13,stage3,0.5664131913781166,0.7228295182585717
condition,rain,1000,13,stage4,0.6658415443897248,0.6959573986530304
condition,rain,1000,14,stage1,0.677260847479105,0.6856032272279262
condition,rain,1000,14,stage2,0.6504282358288765,0.7449259831309318
condition,rain,1000,14,stage3,0.577908275514841,0.7458463391661644
condition,rain,1000,14,stage4,0.6688950971961022,0.7049936410486698
condition,rain,1000,15,stage1,0.6640268632769585,0.660900871783495
condition,rain,1000,15,stage2,0.6332267767190933,0.73193219268322
condition,rain,1000,15,stage3,0.5800513413846493,0.7548140192627907
condition,rain,1000,15,stage4,0.6687734887599945,0.7017992091178894
condition,rain,1000,16,stage1,0.6421099834740162,0.6327071798443794
condition,rain,1000,16,stage2,0.6099294383227826,0.709382017493248
condition,rain,1000,16,stage3,0.5651844256818295,0.7439889623522759
condition,rain,1000,16,stage4,0.6464597190022469,0.6775911024212837
condition,rain,1000,17,stage1,0.6392886004447937,0.62347119602561
condition,rain,1000,17,stage2,0.6035651953220368,0.7019051046669483
condition,rain,1000,17,stage3,0.5673238195478916,0.7379986206293107
condition,rain,1000,17,stage4,0.6509547098577022,0.6748652294576168
condition,rain,1000,18,stage1,0.6206397170722484,0.6119078717231751
condition,rain,1000,18,stage2,0.593364041864872,0.6879678072333336
condition,rain,1000,18,stage3,0.583685509711504,0.7427846632003784
condition,rain,1000,18,stage4,0.6696325130164623,0.6910370257794857
condition,rain,1000,19,stage1,0.6053605143725872,0.5736708689928055
condition,rain,1000,19,stage2,0.5833292282521725,0.661421664506197
condition,rain,1000,19,stage3,0.5847284667491913,0.7210679478943348
condition,rain,1000,19,stage4,0.6526716337800026,0.6485783209800721
condition,rain,1000,20,stage1,0.5974929836094379,0.5071125269681215
condition,rain,1000,20,stage2,0.5654166151583194,0.6074595679342747
condition,rain,1000,20,stage3,0.5637232956290245,0.6696958633065224
condition,rain,1000,20,stage4,0.6186756242513657,0.5746315808892251
condition,rain,1000,21,stage1,0.5950234691500664,0.4997328341156244
condition,rain,1000,21,stage2,0.5578335222303867,0.601237403601408
condition,rain,1000,21,stage3,0.5665464982092381,0.6817013467252254
condition,rain,1000,21,stage4,0.6566519959568977,0.611451072961092
condition,rain,1000,22,stage1,0.5890645989775658,0.517999632641673
condition,rain,1000,22,stage2,0.561500164359808,0.61276926907897
condition,rain,1000,22,stage3,0.577808874040842,0.6946544250547886
condition,rain,1000,22,stage4,0.6498377533555031,0.6263025564551353
condition,rain,1000,23,stage1,0.5927723943889142,0.5123878623694181
condition,rain,1000,23,stage2,0.5630074143111706,0.6071879982054234
condition,rain,1000,23,stage3,0.5865353717207908,0.7089068588912487
condition,rain,1000,23,stage4,0.6624972847402095,0.6438215951323509
condition,rain,1000,24,stage1,0.5746972352266312,0.5205291532874108
condition,rain,1000,24,stage2,0.5595936813056469,0.5368055348992348
condition,rain,1000,24,stage3,0.6264370169639587,0.6351465060710907
condition,rain,1000,24,stage4,0.7255932166278363,0.681945104598999
condition,snow,1000,1,stage1,0.6405550585091114,0.6271502040028573
condition,snow,1000,1,stage2,0.5536462860405446,0.5409026652872563
condition,snow,1000,1,stage3,0.3875218046754599,0.3913511207820848
condition,snow,1000,1,stage4,0.5596322540938854,0.47842324713710693
condition,snow,1000,2,stage1,0.6910534004569053,0.6227139151394367
condition,snow,1000,2,stage2,0.6032081387937069,0.5379655584692955
condition,snow,1000,2,stage3,0.40368627798557283,0.39235683307796715
condition,snow,1000,2,stage4,0.5616237748116255,0.4934808964431286
condition,snow,1000,3,stage1,0.6979885755479336,0.6659963827133178
condition,snow,1000,3,stage2,0.614430118739605,0.5845102880597115
condition,snow,1000,3,stage3,0.4114014378488064,0.4311914793923497
condition,snow,1000,3,stage4,0.5694953875541687,0.524161283031106
condition,snow,1000,4,stage1,0.7185814773142338,0.7231335116922856
condition,snow,1000,4,stage2,0.6324307700693608,0.6494912376701831
condition,snow,1000,4,stage3,0.4215516707599163,0.47665603618323804
condition,snow,1000,4,stage4,0.5774406078755856,0.5500963198542594
condition,snow,1000,5,stage1,0.7747277433872223,0.7858296486735344
condition,snow,1000,5,stage2,0.6819072349071502,0.7171357231140136
condition,snow,1000,5,stage3,0.44652619311213493,0.5329711993932724
condition,snow,1000,5,stage4,0.5890776560902595,0.5865838638544083
condition,snow,1000,6,stage1,0.8028766615986824,0.8226682147979736
condition,snow,1000,6,stage2,0.703297046482563,0.7498436380624771
condition,snow,1000,6,stage3,0.45294366347789766,0.531796708419919
condition,snow,1000,6,stage4,0.5879664296656847,0.5624162998944521
condition,snow,1000,7,stage1,0.7873831276297569,0.8003169037103653
condition,snow,1000,7,stage2,0.7063612107038498,0.7487097531557083
condition,snow,1000,7,stage3,0.46088465508818627,0.5514815259277821
condition,snow,1000,7,stage4,0.5747850477248431,0.5613478036075831
condition,snow,1000,8,stage1,0.7370805848836899,0.7558773130178451
condition,snow,1000,8,stage2,0.6921437067389489,0.7340599431991577
condition,snow,1000,8,stage3,0.4967185229957104,0.5843940299153328
condition,snow,1000,8,stage4,0.6547635282278061,0.6538391782641411
condition,snow,1000,9,stage1,0.6942348613739013,0.7119525161981582
condition,snow,1000,9,stage2,0.6736026994585991,0.6987629708647728
condition,snow,1000,9,stage3,0.5165849321782588,0.600515422642231
condition,snow,1000,9,stage4,0.6727708294093608,0.6723116182684898
condition,snow,1000,10,stage1,0.7245809623599052,0.7508653020262718
condition,snow,1000,10,stage2,0.7016448882222176,0.7572563608884811
condition,snow,1000,10,stage3,0.5350099121034145,0.6549890739619731
condition,snow,1000,10,stage4,0.6760189308822155,0.694683273613453
condition,snow,1000,11,stage1,0.7109549565911293,0.7364461087584495
condition,snow,1000,11,stage2,0.6943642411828042,0.7537679305672645
condition,snow,1000,11,stage3,0.5441105361580849,0.6792189987599849
condition,snow,1000,11,stage4,0.6665075454413891,0.6931376145482063
condition,snow,1000,12,stage1,0.7149240157008171,0.7409147779941558
condition,snow,1000,12,stage2,0.7031801320910454,0.7892077531218529
condition,snow,1000,12,stage3,0.5557286558151245,0.722846079736948
condition,snow,1000,12,stage4,0.6671668504178524,0.6994718899726867
condition,snow,1000,13,stage1,0.6853770038485527,0.7145644918978215
condition,snow,1000,13,stage2,0.6790610654950142,0.7686463667154312
condition,snow,1000,13,stage3,0.570886895954609,0.7424275829792023
condition,snow,1000,13,stage4,0.6787542492747307,0.7160219476819039
condition,snow,1000,14,stage1,0.6651992536783219,0.679864258736372
condition,snow,1000,14,stage2,0.66162239164114,0.7486368851661682
condition,snow,1000,14,stage3,0.5832534309029579,0.7543771711289883
condition,snow,1000,14,stage4,0.6818505442738533,0.7198391990661621
condition,snow,1000,15,stage1,0.6475491416156292,0.6460377930402755
condition,snow,1000,15,stage2,0.6411099019050598,0.7291684527993202
condition,snow,1000,15,stage3,0.5870654799938202,0.7612640608847141
condition,snow,1000,15,stage4,0.6872176206707954,0.7185077623128892
condition,snow,1000,16,stage1,0.6258892908096313,0.6188004533648491
condition,snow,1000,16,stage2,0.6181966087520122,0.7077000371217728
condition,snow,1000,16,stage3,0.5756360326707363,0.7477368974089622
condition,snow,1000,16,stage4,0.6661874348521233,0.6900312722027302
condition,snow,1000,17,stage1,0.6292625604867935,0.615591545343399
condition,snow,1000,17,stage2,0.6159653087556363,0.7023921653032302
condition,snow,1000,17,stage3,0.5810420628488063,0.7442419333457947
condition,snow,1000,17,stage4,0.6715563980340957,0.6857767068147659
condition,snow,1000,18,stage1,0.6087669681608677,0.6067237507998944
condition,snow,1000,18,stage2,0.6047355395555496,0.6899015629589558
condition,snow,1000,18,stage3,0.5996203752458096,0.7507866765260697
condition,snow,1000,18,stage4,0.6964492651224137,0.7114146484136581
condition,snow,1000,19,stage1,0.6028084182143212,0.5796783081591129
condition,snow,1000,19,stage2,0.5994656050503254,0.6728271552026271
condition,snow,1000,19,stage3,0.6112384909391403,0.7324022313952446
condition,snow,1000,19,stage4,0.6885035294890404,0.6742332000434399
condition,snow,1000,20,stage1,0.5975884435772896,0.5225080149769783
condition,snow,1000,20,stage2,0.5825265609025955,0.6263091099262238
condition,snow,1000,20,stage3,0.5892279650270938,0.6807903539538384
condition,snow,1000,20,stage4,0.6515995746850968,0.598876774340868
condition,snow,1000,21,stage1,0.594851561486721,0.5140120974034071
condition,snow,1000,21,stage2,0.5769827511608601,0.6198174816966057
condition,snow,1000,21,stage3,0.5839048905074596,0.6848602503836155
condition,snow,1000,21,stage4,0.6760334741473198,0.6174640718847513
condition,snow,1000,22,stage1,0.5884556271433831,0.5320662462711334
condition,snow,1000,22,stage2,0.5763952614963055,0.6325792388021946
condition,snow,1000,22,stage3,0.6000476109981537,0.7045428642928601
condition,snow,1000,22,stage4,0.6734123122692108,0.6369471972882748
condition,snow,1000,23,stage1,0.587559546649456,0.5231951880156994
condition,snow,1000,23,stage2,0.5740084038078785,0.6256086916327477
condition,snow,1000,23,stage3,0.6036195760369301,0.718072846353054
condition,snow,1000,23,stage4,0.6771543030142784,0.6472439903616906
condition,snow,1000,24,stage1,0.557863246947527,0.507379729822278
condition,snow,1000,24,stage2,0.5670083602666854,0.5491205745637416
condition,snow,1000,24,stage3,0.6458488600254059,0.6597228910923004
condition,snow,1000,24,stage4,0.7441906190514564,0.7198774101734161
split,train,1600,1,stage1,0.6725617420487106,0.6436530634015799
split,train,1600,1,stage2,0.51486073538661,0.5317614733520896
split,train,1600,1,stage3,0.3745016488619149,0.38765013176889623
split,train,1600,1,stage4,0.5070920394849964,0.4362548299191985
split,train,1600,2,stage1,0.6982476500421763,0.6336590301059186
split,train,1600,2,stage2,0.5470899115130305,0.5251619693171233
split,train,1600,2,stage3,0.38300947286654263,0.3872100954153575
split,train,1600,2,stage4,0.5058642383641563,0.4441322191193467
split,train,1600,3,stage1,0.7149031940661371,0.6764272774942219
split,train,1600,3,stage2,0.5640103389136493,0.5728733027819544
split,train,1600,3,stage3,0.3936135419365019,0.42662665036972613
split,train,1600,3,stage4,0.5165512865921482,0.4758837213664083
split,train,1600,4,stage1,0.7290097710490226,0.7232516355253756
split,train,1600,4,stage2,0.5785836093500256,0.6277617154084146
split,train,1600,4,stage3,0.4017455929517746,0.46217114633880557
split,train,1600,4,stage4,0.5229474634304643,0.495477048328612
split,train,1600,5,stage1,0.7669032539054751,0.7752387699112296
split,train,1600,5,stage2,0.6265187066607177,0.6958891753852368
split,train,1600,5,stage3,0.42674719003029166,0.5179566419869661
split,train,1600,5,stage4,0.5359052115306259,0.5302229964989238
split,train,1600,6,stage1,0.7819256778433918,0.799290769584477
split,train,1600,6,stage2,0.6423792399093509,0.7206109145097435
split,train,1600,6,stage3,0.4317711061239243,0.516804309533909
split,train,1600,6,stage4,0.5361785412533209,0.5140357948094606
split,train,1600,7,stage1,0.7377948551625013,0.7667461229860782
split,train,1600,7,stage2,0.6397084952704608,0.7211473415605724
split,train,1600,7,stage3,0.432039458360523,0.53886503925547
split,train,1600,7,stage4,0.5169326522108167,0.5185791477235034
split,train,1600,8,stage1,0.7211743692867458,0.73706379275769
split,train,1600,8,stage2,0.6346362594515085,0.7084420574456454
split,train,1600,8,stage3,0.4973172901570797,0.5920982227660716
split,train,1600,8,stage4,0.6224593601934612,0.6310903085768222
split,train,1600,9,stage1,0.6885582740791142,0.6969153971783817
split,train,1600,9,stage2,0.6259784357436001,0.6827721769921482
split,train,1600,9,stage3,0.5271263947896659,0.6225025924853981
split,train,1600,9,stage4,0.6491900589130819,0.6638978723064065
split,train,1600,10,stage1,0.709004785232246,0.7327832567505539
split,train,1600,10,stage2,0.6523223626799881,0.7382644115760922
split,train,1600,10,stage3,0.5453365557268262,0.6722814611531794
split,train,1600,10,stage4,0.655674513541162,0.6840753882750868
split,train,1600,11,stage1,0.6903912692703307,0.7170904497243464
split,train,1600,11,stage2,0.6492616779915988,0.7393734779953957
split,train,1600,11,stage3,0.5567530498467386,0.6962827336415649
split,train,1600,11,stage4,0.6489842728152871,0.6824347334727645
split,train,1600,12,stage1,0.6940670901536942,0.733137691244483
split,train,1600,12,stage2,0.659139986205846,0.7836738038808108
split,train,1600,12,stage3,0.5711089112237095,0.7418331020697951
split,train,1600,12,stage4,0.6559769019857049,0.6938879827223718
split,train,1600,13,stage1,0.6679734291508794,0.7095515776798129
split,train,1600,13,stage2,0.635487940646708,0.7636176437884569
split,train,1600,13,stage3,0.5834618282318115,0.7592679581046105
split,train,1600,13,stage4,0.6677558886259795,0.7118539953790605
split,train,1600,14,stage1,0.6489006915129721,0.6838768013194203
split,train,1600,14,stage2,0.6214880250021815,0.7513333078846336
split,train,1600,14,stage3,0.5935755139030516,0.7710249533131719
split,train,1600,14,stage4,0.67242586735636,0.7151412749104202
split,train,1600,15,stage1,0.6303185935504735,0.6581070594862104
split,train,1600,15,stage2,0.600406211167574,0.7356191467866302
split,train,1600,15,stage3,0.5945573668554425,0.7749260149523616
split,train,1600,15,stage4,0.6776160160079598,0.7151854918710887
split,train,1600,16,stage1,0.6107806931622326,0.636566912420094
split,train,1600,16,stage2,0.5812590948119759,0.7188868680968881
split,train,1600,16,stage3,0.5804391323216259,0.7604200134426355
split,train,1600,16,stage4,0.6557787710428238,0.6883021069318056
split,train,1600,17,stage1,0.6085444353334606,0.6304152625612914
split,train,1600,17,stage2,0.5751145295985043,0.711817498523742
split,train,1600,17,stage3,0.5830939092673362,0.7553058769181371
split,train,1600,17,stage4,0.6582286599464715,0.682180306352675
split,train,1600,18,stage1,0.5970740249566734,0.6178865985944867
split,train,1600,18,stage2,0.5666782212629914,0.6947247103042901
split,train,1600,18,stage3,0.5991507390141487,0.7601994563639164
split,train,1600,18,stage4,0.6793606066145003,0.7031911811232567
split,train,1600,19,stage1,0.587112917304039,0.5963348528556526
split,train,1600,19,stage2,0.5614745594933629,0.6825335906632245
split,train,1600,19,stage3,0.605922750774771,0.742601712718606
split,train,1600,19,stage4,0.6726837441697717,0.6684313046745955
split,train,1600,20,stage1,0.5768062715046107,0.5550929287727923
split,train,1600,20,stage2,0.5489342017285526,0.6530870239622891
split,train,1600,20,stage3,0.5867656091600657,0.6970222811214626
split,train,1600,20,stage4,0.6423923607170582,0.601877446565777
split,train,1600,21,stage1,0.5779784045554698,0.5533186166640371
split,train,1600,21,stage2,0.5379048081301153,0.6471530637331306
split,train,1600,21,stage3,0.5825354119390249,0.7060518330894411
split,train,1600,21,stage4,0.6643387961015105,0.6318090308457613
split,train,1600,22,stage1,0.5680695772729814,0.5610785391926766
split,train,1600,22,stage2,0.5393520707637072,0.6492877796292305
split,train,1600,22,stage3,0.594075522236526,0.7144461184553802
split,train,1600,22,stage4,0.6579957912862301,0.6413876487500966
split,train,1600,23,stage1,0.5720282927714289,0.5626946608535945
split,train,1600,23,stage2,0.5397456333786249,0.6476018221303821
